Player,TEAM,PLAYOFF,PPG,TS%,USG%,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,SALARY
Talen Horton-Tucker,CHI,0,13.8,0.567,21.6,0.6,0.5,1.1,0.075,-1.4,-1.1,-2.4,-0.1,2087519
Tari Eason,HOU,1,18.5,0.567,19.4,2.1,2.9,5,0.169,1,2.6,3.6,2,3695160
Taurean Prince,MIL,1,9.8,0.613,12.5,1.3,2.2,3.5,0.077,-2,0.3,-1.7,0.1,2087519
Terance Mann,ATL,0,12,0.584,14.7,1.7,1.3,3,0.101,-1.4,0,-1.3,0.2,11423077
Terrence Shannon Jr.,MIN,1,11.9,0.56,17.7,0.3,0.4,0.6,0.091,-2.1,0,-2.1,0,2546640
Thomas Bryant,IND,1,17.2,0.614,17.1,1.8,1.2,3.1,0.152,0.7,0,0.6,0.6,2087519
Tony Bradley,IND,1,23.2,0.64,20.1,0.3,0.2,0.4,0.187,1.5,-0.3,1.2,0.1,600545
Torrey Craig,CHI,0,12.9,0.567,14.1,0.4,0.4,0.8,0.122,-1,0.1,-0.9,0.1,3625162
Toumani Camara,POR,0,12.5,0.572,14.4,2.5,2.6,5.2,0.097,-0.9,0.8,-0.1,1.2,1891857
Trayce Jackson-Davis,GSW,1,18.5,0.587,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8,1891857
Tre Jones,CHI,0,16.3,0.617,14.1,2.3,0.6,2.9,0.155,0.5,1,1.5,0.8,9104167
Trey Lyles,SAC,0,12.3,0.551,14.3,1.3,1.2,2.6,0.091,-0.4,-0.3,-0.7,0.4,8000000
Trey Murphy III,NOP,0,17.3,0.598,23.7,3,0.5,3.5,0.091,2.1,-1.4,0.8,1.3,5159854
Ty Jerome,CLE,1,21,0.643,23.6,4.2,1.8,5.9,0.204,3.5,0.8,4.3,2.2,2560975
Tyler Kolek,NYK,1,10.3,0.453,15.8,0.1,0.3,0.4,0.058,-2.6,-0.3,-2.8,-0.1,2087519
Tyrese Martin,BRK,0,10.9,0.533,18.8,0,0.9,0.9,0.033,-1.4,-1.2,-2.6,-0.2,635853
Tyus Jones,PHO,0,14.5,0.585,16.2,4,0.3,4.4,0.096,1.4,-1.3,0.1,1.1,2087519
Vince Williams Jr.,MEM,1,9.2,0.504,17,-0.1,0.5,0.4,0.04,-2.5,-0.3,-2.8,-0.1,2120693
Vit Krejci,ATL,0,12.7,0.661,12.9,1.8,0.8,2.6,0.11,0,0.7,0.7,0.8,2162606
Walker Kessler,UTA,0,20,0.66,13.7,3.6,1.8,5.4,0.149,1.1,0.7,1.8,1.7,2965920
Wendell Moore Jr.,DET,1,11,0.553,13.8,0.2,0.5,0.7,0.063,-2.6,-0.1,-2.7,-0.1,2537040
Zach Edey,MEM,1,18.2,0.624,16.4,2.7,2.2,4.9,0.165,-0.2,0.1,-0.1,0.7,5756880
Zeke Nnaji,DEN,1,12,0.574,12.2,0.6,0.6,1.2,0.097,-2.1,0.7,-1.3,0.1,8888889
Ziaire Williams,BRK,0,11.9,0.55,18.2,0.5,1.6,2.1,0.065,-2.2,-0.1,-2.3,-0.1,6133005
